time,x,y,theta
1890.069,1.9707480720665416e-06,-1.7346859304545603e-07,-0.00020003634985554797
1890.073,-2.546851618490109e-13,6.283862319378386e-14,-5.255964752315379e-07
1890.077,-2.546851618490109e-13,6.283862319378386e-14,-5.256002535425353e-07
1890.082,-2.546851618490109e-13,6.261657858885883e-14,-5.256040322976219e-07
1890.085,9.819387246623457e-05,-8.098828113256573e-06,-0.0099759890090243
1890.09,1.957273481290045e-06,-1.5135720454750867e-07,-0.00020003289312464645
1890.095,1.95700408278654e-06,-1.509420588519106e-07,-0.00020003278375479994
1890.099,-2.55351295663786e-13,5.995204332975845e-14,-5.256191477620575e-07
1890.103,-2.55351295663786e-13,5.995204332975845e-14,-5.256229265171442e-07
1890.105,1.9564639330837963e-06,-1.5011203857717703e-07,-0.00020003256702993966
1890.108,-2.55351295663786e-13,5.995204332975845e-14,-5.256304840273174e-07
1890.112,1.9561932906864143e-06,-1.496971886449927e-07,-0.00020003245971222938
1890.115,1.9559223560783323e-06,-1.492824521776015e-07,-0.0002000323483537514
1890.12,-2.55351295663786e-13,5.972999872483342e-14,-5.256418207366664e-07
1890.122,1.9556511685614453e-06,-1.4886782295775447e-07,-0.00020003224092768335
1890.127,1.9553797587779087e-06,-1.4845330142954083e-07,-0.0002000321300523744
1890.131,-2.55351295663786e-13,5.972999872483342e-14,-5.256531574460155e-07
1890.136,-2.55351295663786e-13,5.972999872483342e-14,-5.256569362011021e-07
1890.139,-2.55351295663786e-13,5.972999872483342e-14,-5.256607154002779e-07
1890.142,-2.560174294785611e-13,5.750955267558311e-14,-5.256644941553645e-07
1890.146,-2.560174294785611e-13,5.750955267558311e-14,-5.256682733545404e-07
1890.15,-2.560174294785611e-13,5.728750807065808e-14,-5.25672052109627e-07
1890.154,1.942178321057142e-06,-1.2907560331676393e-07,-0.00020002567707244623
1890.158,-2.560174294785611e-13,5.728750807065808e-14,-5.256796105079786e-07
1890.162,-2.560174294785611e-13,5.728750807065808e-14,-5.256833892630652e-07
1890.166,-2.560174294785611e-13,5.728750807065808e-14,-5.256871684622411e-07
1890.169,-2.560174294785611e-13,5.728750807065808e-14,-5.256909476614169e-07
1890.171,-2.560174294785611e-13,5.728750807065808e-14,-5.256947268605927e-07
1890.174,1.94098509265217e-06,-1.2743623911681823e-07,-0.00020002488716652778
1890.178,-2.560174294785611e-13,5.706546346573305e-14,-5.257022852589444e-07
1890.184,-2.560174294785611e-13,5.706546346573305e-14,-5.257060644581202e-07
1890.189,5.614095093786631e-05,-3.4944951521342915e-06,-0.00578590399267398
1890.196,1.9313488757166652e-06,-1.1440173208754345e-07,-0.00020001832856442192
1890.2,1.93104203471961e-06,-1.1399631771880081e-07,-0.00020001810906444817
